gate,passed,detail
registry_frozen,1,"hash 97046423 over 60 leaves"
matrix_complete_unique,1,"1400/1400 unique rows"
exact_seed_cell_condition_coverage,1,"100 fresh seeds, two cells and seven conditions exact"
paired_absolute_base_traces,1,"all conditions share one absolute trace per seed/cell"
data_erasure_schedule_separation,1,"zero and DATA-erasure rows have identical schedule-state hashes"
zero_loss_certification,1,"200/200 zero-loss rows fully certified"
scheduled_region_collision_free,1,"0 scheduled collision frames"
edge_lease_safety_invariant,1,"0 false-valid, 0 lock violations"
directed_grant_loss_is_conservative,1,"200/200 selected clients remain uncertified"
state_loss_recovery,1,"200/200 state-loss rows recovered"
owner_reconfiguration_fenced,1,"200/200 reconfigurations applied after fence"
owner_reconfiguration_recovers,0,"200/200 terminally certified; 100 automatic recolors"
recipient_and_airtime_accounting,1,"management, scheduled and fallback partitions and utilization close"
causal_information_contract,1,"zero future-random and receiver-truth decision reads"
all_boundary_outcomes_retained,1,"400 noncertified terminals, 27095 fallback collision frames retained"
kernel_scope_only,1,"no tuning, closed-loop claim, promotion or submission decision"
