gate,passed,detail
registry_frozen,1,"hash 63727237 over 52 leaves"
matrix_complete_unique,1,"180/180 unique rows"
exact_matrix_coverage,1,"30 fresh seeds, two cells and three arms exact"
paired_shared_realizations,1,"channel, initial state, estimator and clock draws paired"
parent_and_pilot_rates_frozen,1,"cost-match derives from EXP23C; lower rate uses cost-only pilot rule"
static_guarded_collision_free,1,"both periodic references remain physically collision-free"
one_hop_witness_cover,1,"candidate certifies hidden conflicts under one-hop management reach"
elcs_w_kernel_safety,1,"certified frame 1; zero retry, false validity and scheduled collision"
exact_elcs_w_replay,1,"queue opportunities, receiver outcomes, clock guard and planes close"
variable_payload_management_accounting,1,"attempt, recipient, byte and airtime accounting are exact"
measured_lower_cost_eligibility,1,"n5-6dof-zero-loss -1.285%; n10-ring2-zero-loss -1.383%; "
recipient_and_airtime_accounting,1,"actual DATA and variable management airtime and recipients close"
causal_and_closed_loop_invariants,1,"zero causal and protocol-invariant failures"
all_failures_retained,1,"0 unsafe and 0 divergent trajectories retained"
frontier_scope_only,1,"no tuning, robustness, method promotion or submission decision"
