gate,passed,detail
registry_frozen,1,"hash 77758983 over 68 leaves"
matrix_complete_unique,1,"600/600 unique rows"
exact_matrix_coverage,1,"30 seeds, two cells, five loss conditions and two arms exact"
paired_shared_realizations,1,"each seed/cell/condition shares channel, estimator and clocks by arm"
nested_absolute_loss_fields,1,"all five conditions threshold the same absolute random fields"
periodic_boundary_rate_frozen,1,"EXP23D lower-cost rates remain guarded and collision-free"
one_hop_witness_cover,1,"all hidden conflict edges retain a bounded one-hop witness"
absolute_control_bounds,1,"maximum attempt/byte ratios 0.146000/0.141437"
shared_trace_data_loss_overlay,1,"candidate and periodic consume the same absolute link-time field"
exact_elcs_w_replay,1,"queue, receiver outcomes, clock guard and control/DATA planes close"
variable_payload_management_accounting,1,"attempt, recipient, byte and airtime accounting close exactly"
control_loss_retry_stimulus,1,"retry is absent without control loss and active in every control-loss cell"
data_loss_stimulus,1,"shared DATA loss activates only in DATA and joint conditions"
data_loss_schedule_isolation,1,"DATA erasure changes delivery but never witness state or control effort"
periodic_cost_eligibility,1,"periodic is at least 1% cheaper in every robustness contrast"
recipient_and_airtime_accounting,1,"actual DATA and variable management airtime and recipients close"
causal_and_protocol_invariants,1,"zero future/random truth reads and protocol invariant violations"
all_robustness_failures_retained,1,"unsafe, divergent and terminal-uncertified outcomes remain observable"
robustness_screen_scope_only,1,"no tuning, broad robustness, promotion or submission decision"
