gate,passed,detail
registry_frozen,1,"hash 109430786 over 68 leaves"
matrix_complete_unique,1,"1400/1400 unique rows"
exact_seed_cell_condition_coverage,1,"100 fresh seeds, two cells and seven conditions exact"
paired_absolute_base_traces,1,"all conditions share one absolute trace per seed/cell"
data_erasure_schedule_separation,1,"zero and DATA-erasure rows have identical schedule-state hashes"
zero_loss_certification,1,"200/200 zero-loss rows fully certified"
scheduled_region_collision_free,1,"0 scheduled collision frames"
fallback_attempt_cap,1,"maximum observed per node/frame 1 (cap 1)"
edge_lease_safety_invariant,1,"0 false-valid, 0 lock violations"
directed_grant_loss_is_conservative,1,"200/200 selected clients remain uncertified"
state_loss_recovery,1,"200/200 state-loss rows recovered"
owner_reconfiguration_fenced,1,"200/200 reconfigurations applied after fence"
owner_reconfiguration_recovers,1,"200/200 terminally certified; 600 automatic recolors"
recipient_and_airtime_accounting,1,"management, scheduled and fallback partitions and utilization close"
causal_information_contract,1,"zero future-random and receiver-truth decision reads"
event_driven_request_discipline,1,"0 GRANTs without request; STATUS partition residual 0"
analytical_zero_loss_control_bound,1,"maximum observed/bound ratio 0.982967"
zero_loss_acquisition_deadline,1,"maximum first-certification excess 0 frames"
all_boundary_outcomes_retained,1,"400 noncertified terminals, 23684 fallback collision frames retained"
kernel_scope_only,1,"no tuning, closed-loop claim, promotion or submission decision"
