gate,passed,detail
registry_frozen,1,"hash 86689241 over 45 leaves"
matrix_complete_unique,1,"1000/1000 unique rows"
exact_matrix_coverage,1,"100 fresh seeds, two cells and five conditions exact"
one_hop_witness_cover,1,"all hidden conflict edges covered; no response exceeds one MTU"
zero_loss_liveness,1,"200/200 certify in frame one"
claim_erasure_5_liveness,0,"terminal certification 37.5% (required 95.0%)"
certificate_erasure_5_liveness,0,"terminal certification 53.0% (required 95.0%)"
data_information_separation,1,"DATA erasure changes delivery only, never certificate state"
directed_certificate_blackout_boundary,1,"200/200 failures retained with target inactive"
edge_safety_all_conditions,1,"zero false-valid, scheduled collision and unsupported CERT events"
attempt_byte_and_recipient_accounting,1,"max attempt/byte ratios 1.000000/1.000000"
causal_information_contract,1,"zero future-random and receiver-truth decision reads"
all_failures_retained,1,"no terminal failure row discarded"
kernel_scope_only,1,"no tuning, closed-loop, promotion or submission claim"
