family,work,year,coordination,access_or_schedule,decision_signal,feedback_structure,uav_or_control,validation,overlap_with_old_exp20,residual_distinction,baseline_requirement
"hybrid MAC","Rhee et al. Z-MAC","2008","distributed two-hop","CSMA with TDMA slot-owner priority and contention modes","contention level and slot ownership","local sensing plus explicit contention notification","generic WSN","TinyOS and Mica2 testbed","direct conflict with generic contention-to-scheduled novelty","no semantic state or UAV control","mandatory hybrid baseline"
"hybrid MAC","Gilani et al. adaptive CSMA/TDMA","2013","coordinator based","adaptive CSMA/CA and TDMA partition","queue state and detected collisions","reserved data bits and beacon descriptors","generic WSN","OMNeT++ simulation","direct conflict with load/queue-driven switching","centralized coordinator and no control semantics","supporting baseline or literature bound"
"UAV hybrid MAC","Xiao et al.","2026","centralized leader","CSMA request, centralized allocation, TDMA data","effective queue length and BER","leader beacon, request, and ACK","UAV formation networking","Exata plus FPGA semi-physical","direct conflict with generic UAV hybrid dynamic slots","centralized and service-delay rather than peer closed-loop semantics","mandatory citation; comparator if centralized arm is used"
"UAV dynamic TDMA","Azem et al. DTSA","2022","decentralized","non-periodic next-slot selection","relative position, velocity, collision geometry, sender activity","no ACK; shared broadcast state estimate","quadcopter swarm control","simulation plus Crazyflie flight","direct conflict with flight-aware decentralized slots","no delayed ACK or multi-receiver feedback belief","mandatory exact baseline"
"UAV self-organizing TDMA","Aydin et al.","2024","distributed two-hop","slot assignment, reuse, migration, frame doubling","node demand, topology, entry/exit","positive and negative negotiation acknowledgements","aerial swarm network","OMNeT++/INET plus COTS proof of concept","direct conflict with demand-driven distributed reservation","no continuous semantic priority or delayed private receiver freshness","mandatory second-stage exact baseline"
"UAV distributed TDMA","Samandari D-STR","2025","distributed","self-allocation, spatial reuse, dynamic superframe","slot occupancy and formation topology","broadcast control slots","rigid UAV formation","thesis simulations; preprint","conflict with self-allocation and dynamic frame novelty","periodic safety beacons and rigid topology","emerging baseline/citation"
"event-triggered control MAC","Cervin and Henningsson","2008","shared network","TDMA, FDMA, CSMA priority comparisons","event threshold","MAC-dependent","networked control","numerical analysis","conflict with broad event-trigger/MAC comparison","independent first-order plants","mandatory conceptual baseline"
"control-error scheduling","Mamduhi et al.","2017","scheduler","probabilistic allocation among eligible loops","local control error and thresholds","not delayed multi-receiver ACK","multi-loop NCS","theory plus simulation","conflict with state/error priority novelty","not peer broadcast UAV formation","mandatory scheduler baseline or analytical comparison"
"distributed AoI random access","Chen et al.","2022","decentralized","age-based thinning over ALOHA/other random access","packet age-gain and collision feedback","timely channel outcome feedback","status-update/control motivation","theory plus simulation","conflict with distributed causal age-threshold access","not continuous multi-receiver formation state","mandatory exact baseline"
"partial-observation AoI","Tahir et al.","2024","decentralized identical agent policy","capacity-limited non-FIFO duplex channels","particle belief over receiver AoI","random delayed feedback","multi-agent sensors","mean-field/RL simulation","direct conflict with delayed ACK/AoI belief novelty","common receiver and no continuous control semantics","mandatory belief baseline"
"goal-oriented random access","Chiariotti et al. DELTA","2026","distributed through public gateway feedback","semantic random access with collision resolution phases","local AoII and belief over others' AoII","public slot-synchronous ACK/NACK; imperfect variants","dense sensor anomaly reporting","theory, Monte Carlo, open code","closest direct conflict with ACK-belief semantic MAC","binary anomaly, common receiver, no private per-neighbor delay","mandatory exact baseline"
"general goal-oriented MAC","Chiariotti and Zanella LIBRA/BETA","2025","distributed","VoI-threshold collision access","local VoI, other-node distributions or learned reward","limited feedback","cooperative sensing/control motivation","theory and simulation preprint","conflict with generic distributed VoI MAC and learned thresholds","iid VoI and ideal slotted collision model","mandatory novelty bound; baseline if code/spec permits"
"self-stabilizing TDMA","Leone and Schiller","2013","distributed","self-stabilizing slot allocation","carrier/busy indications and local competition","neighbor beacons/frame information","dynamic ad hoc network","proof plus implementation discussion","conflict with generic self-stabilizing reservation novelty","not semantic or delayed private ACK controlled","mandatory theoretical comparator"
"event-triggered TDMA construction","DATP","2011","distributed","contention-built collision-free aggregation schedule","empirical interference tolerance","dummy-packet tests","event-triggered WSN aggregation","simulation and correctness argument","conflict with event-triggered distributed schedule acquisition","data aggregation, not closed-loop peer control","citation and control-overhead benchmark"
