gate,passed,detail
registry_frozen,1,"hash 73274717 over 68 leaves"
matrix_complete_unique,1,"480/480 unique rows"
exact_matrix_coverage,1,"30 seeds, two cells, four load conditions and two arms exact"
paired_shared_realizations,0,"each cell/condition pairs channel, estimator, clock and occupancy"
nested_background_random_field,1,"IID and Markov conditions derive from one absolute uniform field"
periodic_boundary_and_timing,1,"EXP23D rates remain guarded without endogenous collision"
exact_background_busy_time_pairing,1,"both engines charge the same absolute occupied time"
candidate_background_certificate,1,"ELCS-W control/DATA overlay matches shared trace and declared load"
background_stimulus_activation,1,"nonzero load hits ELCS-W attempts; clean remains exactly empty"
markov_burst_correlation_stimulus,1,"mean on-run IID/Markov 0.001177/0.04967 s"
one_hop_witness_cover,1,"all hidden conflicts retain bounded local witnesses"
absolute_control_bounds,1,"max attempt/byte ratios 0.226250/0.220214"
exact_elcs_w_replay,1,"queue, outcome, clock and control/DATA plane contracts close"
variable_payload_management_accounting,1,"attempt, recipient, byte and airtime accounting close exactly"
load_induced_retry_stimulus,1,"every loaded cell activates retry; clean does not"
periodic_cost_eligibility,1,"periodic is at least 1% cheaper in every load contrast"
recipient_airtime_and_busy_union,1,"focal offered airtime, recipients and exogenous busy union close"
causal_and_protocol_invariants,1,"zero future/random truth reads and protocol invariant violations"
all_robustness_failures_retained,1,"unsafe, divergent and terminal-uncertified outcomes remain observable"
background_screen_scope_only,1,"no tuning, broad robustness, promotion or submission decision"
