gate,passed,detail
registry_frozen,1,"hash 55155660 over 65 leaves"
matrix_complete_unique,1,"600/600 unique rows"
exact_matrix_coverage,1,"30 fresh seeds, two cells and ten arms exact"
paired_shared_realizations,1,"channel, initial state, estimator and clock draws paired"
causal_information_contract,1,"zero future-random and receiver-truth decision reads"
static_guarded_collision_free,1,"0 collision frames; max clock residual 1.78e-15 s"
exact_replay_outcomes,1,"D-STR and ELCS attempts, recipient masks and collision witnesses match"
replay_control_and_timing,1,"management partitions, cross-plane separation and clock guards close"
elcs_safety,1,"ELCS certification, edge locks and scheduled safety remain valid"
dstr_native_valid,1,"native D-STR resolves and remains physically collision-free"
recipient_and_airtime_accounting,1,"recipient partition and all DATA/management attempt-airtime close"
closed_loop_invariants,1,"0 invariant, 0 unsafe and 0 divergent rows"
all_outcomes_retained,1,"all favorable and unfavorable performance rows retained"
feasibility_scope_only,1,"no tuning, confirmation, robustness or submission decision"
